reple,star_score
아~ 캐릭터들 너무 귀엽고 사랑스럽다!!! 굿즈 제작 안하나요?,10
1000만 관객 기원합니다. 마동석 표정만 봐도 재밌겠네요.,10
시동 영화 너무 재밌게.봤습니다!!!단순한 코미디가 아닌.감동과 제 10대 시절을 생각하게 만든 영화 였습니다. !! 고급스러운 영화 탄생!!배우들 보는 맛이 있네요!,10
개웃겨ㅋㅋ그냥 엄청 웃기고 감동도 있음 시사회로봤는데 싱크로율 오져웃고싶으면 보는거 강추!! 정해인 연기변신 성공이다,10
CGV 수원에서 조조 6시꺼보고 댓 남깁니다 진짜 겁나 재밌었어요 ㅋㅋ 올해 마무리는 시동과 함께 하세요 꼭 보시길 추천합니다,10
"원작에 충실하게 짜여진(?) 스토리여서 재미있고, 적당하게 감동까지 있어서 좋았어요!!! 배우님들 연기도 정말",10
캐스팅이랑 연기는 짱이었는데.. 마동석 이제 조폭 이미지에서 다른 색다른 이미지 소화하나 싶었는데 또 조폭.. 택일이의 가출성장기로 잘 가다가 또또또 조폭물ㅠ,5
중반까진 재밌었는데 점점 폭력적인 장면 너무 많음,7
와... 반박할 가치도 없는 B급영화라고 영화관 나오면서 확신했는데 영화가 9.31이라니.. 이 영화 이후로 네이버 평점을 믿으면 안되겠다는 생각을 했다.,1
너무 뻔한 스토리에 억지 웃음을 쥐어 짜내는 듯한 영화였습니다 ㅠㅠ,1
제가 명작 명연기를 많이 접해왔나 봅니다무한도전에서 하는 상황극 보는 것 같았어요,4
억지로 웃음포인트를 주려는 ㅁㅅ습과 전체적으로 뚜렷한 주제가 드러나지 않는거 같습니다 두명이서 봤는데 둘다 반응이 미적지근하더라구요,4
아이고 내가 이러려고 이 영화를 봤나 자괴감이 많이 듭니다. 너무 평범할 정도로 실망 주는 작품입니다. 역시 웹툰 원작 영화는 걸러야 합니다. 한국영화 100주년 이게 최선인가요? 웹툰 원작 시동이 영화적인 요소가 ...,1
너무 갑자기 끝나는거같은 느낌..,8
시동걸어라 집에 가자...,1
다들 댓글알바임? 나랑 내친구는 둘다 개노잼이라고 하면서 나왔음 진심 개별로,1
재미도 없고 감동도 없고 내용 개연성도 없고...,1
6000원에 봤는데도 돈 아까움..,1
"이야기를 풀어내는 서사에 대한 설명 부족, 그로 인해 개연성 따위는 무시하고 급하게 마무리 하는 느낌... 그냥 딱 소소하게 킬링타임 용으로 볼 만하지만 돈이 살짝 아까운 영화",6
"어머니 표까지 표 두 장 내 돈 주고 결제해서 봤는데 둘 다 별로라고 하면서 나왔다. 댓글 알바, 평점 알바 너무 많아서 공익을 위해 1점 준다. 웃음도 감동도 빵 터질 것 같으면서 안 터진다. 특히 결말이 흐지부지...",1
이 영화는 진짜 '흐지부지' 합니다.. 케릭터 설명도 개연성도 분위기도 결말도... 2시간만에 요약할수 없는 웹툰을 억지로 요약해서 다 보여주려다가 모든걸 다 망쳐버린 영화.. 영화 엄청 좋아하고 점...,1
"너무해여,,결국조폭이라뇨",2
ㅋㅋ알바냐...평점 10점 말도 안됨ㅋ..,1
알바충들 개많네 쌉노잼인데ㅔ ;;;;,1
평점 알바라는게 진짜 있나요????,1
평점이 왤케 높나요...알바들인가...,1
"원작 스토리를 전혀 살리지 못했습니다...원작의 묘미는 인물간의 미묘한 감정 교류인데...상필이 사장님이 얼마나 매력적인 인간인데, 그 사람을 3류 양아치로 만들지 않나, 상필이 서포트하는 형이 얼마나 쿨한 사람인데...",5
초반부에야 코믹한 요소가 있긴 했는데 자극적인 폭력과 욕설이 난무해서 뭔가 어수선했다. 중반이후에는 웃음부분 싹 사라지고 심각해졌음. 그나저나 마동석이 반전요소입니다. 별로 임팩트가 강하진 않지만.,5
임팩트 1도 없는 영화. 클라이막스 없는 그냥 잔잔한 호수같은 영화.잔잔한 호수에 아무도 돌을 던지지 않는 영화.영화가 끝났다는게 믿어지지 않는 영화,1
평점알바인가요..?킬링타임용으로 보러갔는데 시간도안가고태어나서 영화보다 몇시인지 중간중간 시계본거처음....영화보고기억난건 배우들욕하는거밖에기억안남 대사90프로가 욕..,2
중국집 사장과 마동석이 어떻게 아는 사이가 되었는지 나오지도 않고 빨간머리 여자는 꼭 나왔어야 했나라는 의문점이 들어요억지 웃음을 유발하려고 안간힘을 쓰지만 웃는 사람이 없었고 결말이 급하게 끝나는것 같아요이런 영화...,1
마동석이 진짜 캐리했네ㅋㅋㅋ 춤출때 이케 웃기다고?ㅋㅋㅋ,10
이게 영화냐? 알바좀 쓰지 마라 역겨우니까,1
거석이형이 부릅니다. Knock Knock!,10
재밌어요!!!정해인 존잘 ㅎㅎ,10
스토리가 아쉽습니다. 완성도가 높지않은 느낌..가볍게 보기에는 괜찮았습니다.,6
나는 하늘에 맹세코 악플러가 아니다. 먼저 영화를 끝까지 다 본 내가 굳이 로그인을 하고 이 평점을 꼭 남겨야만 했다.,1
진짜 재미없어용 왜 다들 재밌다구 하는지 모르겠네요 ㅠㅠ 감동도 재미도 없는 그런.. ㅠㅠ 중간에 나가고 싶은 영화는 처음이었네요,1
그냥 유쾌하게 보고나오면 된다고 봄 무겁지도 가볍지도 않고그냥 동석이형 액션 박정민 배우 양아치 연기 보면 된다고봄,6
지독히 안풀릴때 뭔가 어린시절 잘못된길을 걷거나 괴로웠을때 지나고보면 별거아닌 그런 아련한 기분을 느끼게해준영화,6
진심 평점 알바들 때문에 1점드립니다.적당히들 하세요 두번다신 한국영화 극장가서 안봅니다.^^또속았네요~~~~,1
명배우들의 탄탄한 연기가 좋았습니다.,10
어제 월드타워에서 미리 관람했습니다. 무난하고 현실감있고 재미있었습니다.,10
웹툰 진짜 재밌게 봤는데 영화로 나오네요 기대됩니다 ㄹㅇ 제발...,10
오랜만에 영화를 보면서 위로를 받고 왔네요 좋은 영화 감사합니다,10
"처음에 볼 때는 별로였는데 지금 다시 보니까 박정민, 마동석, 염정아, 정해인 등 배우들의 케미가 참 좋음. 특히나 마동석 캐릭터는 국내 배우 중에선 독보적인 듯",8
마동석이랑 박정민 캐미가 진짜 넘 좋았어요ㅋㅋㅋㅋ,10
부담스럽지 않아 편하게 웃을 수 있는 괜찮은 영화였당 마동석 박정민 정해인 염정아의 연기력은 언제나 굿,10
재미없어요.. 개연성도 떨어져요,1
할말이 없습니다..기다리세요 곧 vod 뜰거 같습니다.배우들 연기만 잘함 ..,1
웃기긴한데결말이똥싸다 만것 느낌적인느낌적인느낌,2
알바들 비켜봐 1점좀 주게,1
심심풀이로 보기 좋은 영화 입니다. 굳,8
장난하냐?평점이 이렇게 높다고? 알바들 도랐네 이렇게 엉망진창인 영화는 첨이다 기승전결이 없노,1
"아 정말 웹툰을 너무 재밌게 본 사람으로서 영화는 너무하다싶을정도로 생략된 장면, 대사가 많네요 특히 마동석 캐릭터는 너무나 멋진 캐릭터인데 정체성을 잃어버리고 캐릭터들을 다 살려내지못해서 큰 실망이네요 너무 수박 ...",2
신파와 어설픈 유머가 섞인 각본과 연출의 관람비용도 아깝지만 시간이 더 아까운 영화입니다. 4명의 주연급 배우들중 유일하게 마동석배우가 하드캐리하려고 했으나 혼자서는 역부족이네요,1
시사회 봤습니다. 연기 잘하는거야 익히 알고 있었지만 코믹에 박정민 배우 때문에 눈물도 나는 따뜻한 영화였습니다.,10
약육강식세계에서 내 자신은 내가 지킬 힘을 가져야한다,6
마동석이 멱살잡고 캐리,6
결말 좀 찝찝하고..이해 안됨. 빨긴머리 여자애의 서사 부족.,2
9점대? 말도 안된다7점대가 적당할듯,1
재미있게 잘봤습니다!!,9
별 반개도 아까워요무슨내용인지 전혀 알수가 없네요 댓글알바가 실제로 이렇게 많은줄 이제 알았네요,1
아주 아주 좋은 영화입니다,10
커뮤니티 평가는 안 좋은데 초반 평점들이 넘 높네...이상하다..,1
모든 배우분들 연기 잘하시고 잔잔한 감동과 웃음을 주는 영화! 추천합니다~,10
꾸르잼~ 원작도 궁금하다아!!,10
캐스팅 대박이네요~~ 좋아하는 배우들 총출동! 기대됩니다!!,10
역시 믿고보는 마동석배우님~보는내내 너무 재미있어서 혼자너무 많이 웃었답니다. 영화도 공감도 가고요 배우들 연기도 훌륭하고 너무 재미있게 잘 봤습니다^^,10
가장 재미있는 영화였습니다. 마동석 배우의 얼굴만 나와도 너무 웃겼어요!!,10
배우들의 연기를 즐길 수 있는 영화,9
일요일에 시사회에서 봄 꿀잼입니다~~~,10
솔직히 9점 넘는건 오바다...점수가너무높아서 1점준다..내기준에선 6점정도 되는거같다...딱 평타치는 코미디영화..마동석장면은 예고편이 거의다라고해도 무방할정도고 후반부는 시간안에 담아낼려고 급전개하는..방금까지 ...,1
재밋고 슬픔없이 보다 눈물 핑ㅜㅜㅜ,10
웹툰과 싱크로율이 진짜 높네요ㅎㅎ 좋은 배우들 좋은 연기 부탁해요!,10
"개그포인트나 캐릭터들의 개성까지는 좋으나, 중간 중간 마치 필름이 끊긴듯 설명부족이네요.. 예를 들어 극중 마동석의 말못할사정이라는 부분이 관객들에게도 모르는 사정이네요 ㅋㅋㅋ 캐릭터들이 전부 말못할사정이 있는데요....",6
각자 소신대로 살아가는 막돼먹은 착한 캐릭터들 조합ㅎㅎ 재미도 감동도 너무 좋았다ㅎㅎ,10
배우들의 연기변신이 단연 돋보이는 영화.소소하게 터지는 웃음과 감동이 있는 영화.엑시트를 재밌게 봤기에 시동도 기대했는데 기대한만큼 재미난 영화.12월 연말에 시동 영화 강추합니다!,10
재미있게 관람했습니다.. 뒷부분 스토리가 먼가 어색한듯 했지만 머.. 배우님들 연기가 좋아서 묻어가 볼랍니다,8
가볍게 웃으면서 즐길 수 있는 영화입니다~!,10
확실한건 10점짜리 영화는 아니고 8~9점 정도 재미는 있었습니다. 다만 보여주려던게 너무 많은것에 비해 102분은 너무 짧았던거 같네요.,8
유쾌한 청춘영화였음 ! 물론 가장 유쾌한건 마동석ㅋㅋ,10
재밌다는 분들 다 알바이신가...리뷰믿고 봤는데 핵노잼입니다 ㅠㅠ,2
어디든가다보면뭐라도 나오겠지.인생.,10
마동석님의 연기 만으로도 돈이 안아까웠어요ㅋㅋ 저는 매우 만족한 영화 입니다. 재밌었어요~,10
엌 조금산작가 시동 개봉하나요?!!? 보러가야지,10
정말 재밌게 잘 봤습니다! 웹툰이 원작이긴 하지만영화로 더 잘 만든거 같습니다!,10
마동석 나오면 그냥 본전은 깔고 간다..가발제작하는데 고생많았다던데 너무 깔맞춤이야 ㅋㅋ잘봤습니다. 유쾌한 영화,10
무조건 볼께요~~12월 개봉인데 지금부터 볼려고 시동 걸고 있어요ㅋㅋ,10
그냥저냥 무난합니다.,8
가다보면 어딘가 나오겠지...,9
단발 뽐뿌 오시는 분들 꼭 보세요그리고 본인한테 어울리는 일을 찾느라 방황하고 계신 분들 언젠가 꼭 찾을 수 있을 거예요응원합니다,6
코미디 장르 안좋아하는데 우연히 보게됐어요깔깔 웃으며 정말 재밌게 봤습니다장풍반점 나오는 마동석 박정민 외 모든분들 연기도 너무 좋았어요후반부의 점프씬과 진부한 스토리는 조금 아쉬웠네요,9
가볍게 볼 수 있는 휴먼 코미디ㅎㅎ,10
"원작 웹툰과 싱크로율 90% 이상이고, 더 웃겨요!다들 연기도 넘 잘하시고, 재밌었어요!!!",10
2019년 대박영화!!! 이건 가족들 데리고 또 보러 가야됨! 처음부터 끝까지 웃기다고요ㅠㅋㅋㅋ 영화관에서 관객들이랑 다같이 웃는 거 진짜 오랜만이다ㅎㅎ 진짜 최고임...,10
웹툰 싱크로율 미쳤다... 1000만 냄세난다...,10
그냥 흔한 우리네 가족이야기지만 엔딩크레딧이 올라갈때 뭔가 감동적이였다.,10
"결말 똥싸다 끊긴 느낌, 마동석이 살렸다",6
마냥 웃긴 영화인줄 알고 봤는데 웃기기도 한데 감동도 있어서 뭔가 따뜻한 느낌!,10
알바들 머냐 ㅡㅡㅋ,1
시동 짜장면 같은 영화뻔한내용인듯 하지만 재밌는 영화예요,8
연말엔 시동! 강추강추!,10
가족들과 편하게 보기 좋은 영화 같음ㅋㅋㅋ 마동석 캐릭터 최고,10
생각보다 재밌어서 놀랐다ㅋㅋㅋㅋ나 알바아니니깐 믿고봐라ㅋㅋㅋ,10
완전 웹툰 씸크롱율 100프로입니다..영화 어제 첨 봤는데 웦툰을 봐서인지그대로더군요^^ 훈훈함도 있고 감동도 있었습니다..,10
재미 있어요 지금 방황하는 사람들 이 봤으면 하네요 ㅋㅋ 역시 마블링 ㅋㅋ,8
잘 봤습니다. 마동석 배우 연기 좋아요,7
마무리가 조금 아쉽지만 개노잼이라는 혹평 받을 정도로 나쁜 영화는 아니었는데...? 요즘엔 영화 평점 낮추는 알바도 생겼나,10
가볍게 볼만하거같음 마동석은 역시 대체불가인정,10
재밌었습니다!!!추천이영,10
오늘 시동이랑 백두산 두편 다보고 왔다 방금. 시동이 재밌드라 나는.,8
소소하게 웃깁니다 마동석 박정민 정해인 굳,10
아니 정해인은 울어도 웃어도 맞아도 누워있어도 왜이리잘생겼냐,10
그들의 이야기를 유쾌하지만 가볍지 않게 보여준~~ 웹툰동 궁금하네~~,10
시동이 재밌다 공감 vs 82톤 김치녀가 재밌다 비공감,10
꼭보세요 재미있게 봤어요 추천드려요,10
